                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7578,                 4.3239,                 1.8603,                 0.0303,                0.00866,                0.01803,                0.01443,                 1.5119,                 4.1419,                 1.5754,             0.00011046,             0.00011046,             0.00011046
                      2,                 1.5943,                 3.9114,                 1.6913,                0.02076,                0.34524,                0.07498,                0.03576,                 1.5792,                 3.9376,                 1.5753,             0.00022394,             0.00022394,             0.00022394
                      3,                 1.5744,                 3.5307,                 1.6689,                0.80355,                0.04107,                0.09687,                0.04836,                 1.5624,                 3.4493,                 1.6039,             0.00033513,             0.00033513,             0.00033513
                      4,                 1.5356,                 3.2364,                 1.6272,                0.84584,                0.07576,                0.13825,                0.06476,                 1.5916,                 3.1671,                 1.6778,             0.00044403,             0.00044403,             0.00044403
                      5,                 1.4979,                   3.03,                  1.625,                 0.7393,                0.10173,                  0.259,                0.12386,                 1.5985,                 2.9202,                 1.7627,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.5062,                 2.8817,                 1.6167,                0.44237,                0.14232,                0.22139,                0.09689,                 1.7299,                 2.8677,                 1.7924,             0.00050517,             0.00050517,             0.00050517
                      7,                 1.4479,                 2.7957,                  1.598,                0.26062,                 0.3581,                 0.3174,                0.15489,                 1.7302,                 2.6619,                 1.8351,             0.00049996,             0.00049996,             0.00049996
                      8,                 1.4403,                 2.6276,                  1.585,                0.47427,                0.25371,                0.28536,                0.14773,                 1.6413,                 2.7968,                 1.8241,             0.00049476,             0.00049476,             0.00049476
                      9,                 1.4287,                 2.5423,                 1.5735,                 0.4884,                0.36085,                0.35485,                0.16093,                 1.5743,                 2.4982,                 1.7227,             0.00048955,             0.00048955,             0.00048955
                     10,                 1.4318,                 2.4836,                 1.5537,                 0.3597,                0.36477,                0.36004,                0.20079,                 1.6598,                 2.4947,                 1.7453,             0.00048434,             0.00048434,             0.00048434
