                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2739,                 1.7565,                  1.394,                 0.6342,                0.25648,                0.34033,                0.17323,                 1.7902,                 2.5338,                 1.8039,              0.0098416,              0.0098416,              0.0098416
                     35,                 1.2358,                 1.7243,                  1.375,                0.66939,                0.33551,                0.30894,                0.13741,                 1.8283,                 2.7858,                 1.8773,              0.0098367,              0.0098367,              0.0098367
                     36,                 1.2034,                 1.6573,                 1.3524,                0.64645,                0.33915,                0.36706,                0.20327,                 1.7391,                 2.4318,                 1.7916,              0.0098317,              0.0098317,              0.0098317
                     37,                 1.2482,                 1.6921,                 1.3562,                0.63156,                0.43681,                0.44316,                0.24007,                 1.6481,                 2.2495,                 1.7913,              0.0098268,              0.0098268,              0.0098268
                     38,                 1.2164,                 1.6436,                 1.3599,                 0.5076,                0.36946,                0.43721,                0.22816,                 1.6061,                 2.1899,                 1.7939,              0.0098218,              0.0098218,              0.0098218
                     39,                  1.228,                 1.6137,                 1.3532,                0.70831,                0.44476,                 0.5087,                0.26377,                 1.5955,                 1.8784,                 1.7139,              0.0098169,              0.0098169,              0.0098169
                     40,                  1.212,                 1.6183,                 1.3645,                0.67417,                0.37241,                0.45067,                  0.241,                 1.6509,                 2.3314,                 1.8216,              0.0098119,              0.0098119,              0.0098119
                     41,                 1.1584,                 1.5791,                 1.3147,                0.54298,                 0.4167,                0.48319,                0.25754,                 1.6061,                 2.1673,                  1.784,               0.009807,               0.009807,               0.009807
                     42,                 1.1627,                 1.5418,                 1.3236,                0.57245,                0.53478,                0.49756,                0.25594,                 1.6395,                 2.2706,                 1.8075,               0.009802,               0.009802,               0.009802
                     43,                 1.1714,                 1.5387,                 1.3287,                0.56879,                0.49295,                0.46466,                0.25209,                  1.705,                 2.3474,                 1.8123,               0.009797,               0.009797,               0.009797
                     44,                 1.2069,                 1.5218,                 1.3269,                 0.4709,                 0.4831,                0.43689,                0.25536,                 1.5609,                  2.153,                 1.6858,              0.0097921,              0.0097921,              0.0097921
                     45,                  1.149,                 1.4847,                 1.3125,                0.71536,                0.35879,                0.39686,                0.22666,                 1.7277,                 2.7347,                 1.9216,              0.0097871,              0.0097871,              0.0097871
                     46,                  1.209,                 1.5168,                 1.3583,                0.57459,                0.33163,                0.42126,                0.21837,                 1.7354,                  2.486,                  1.816,              0.0097822,              0.0097822,              0.0097822
                     47,                 1.1443,                 1.4635,                 1.2999,                 0.3503,                0.46658,                0.41751,                0.19621,                 1.7765,                 2.3712,                 1.8274,              0.0097773,              0.0097773,              0.0097773
                     48,                 1.1568,                 1.4471,                 1.3317,                 0.7393,                0.37955,                0.50665,                 0.2748,                 1.6157,                 2.1138,                  1.594,              0.0097723,              0.0097723,              0.0097723
                     49,                 1.1274,                 1.4278,                 1.3056,                0.51427,                0.37841,                0.36485,                0.20159,                 1.7388,                 2.4184,                 1.8173,              0.0097674,              0.0097674,              0.0097674
                     50,                 1.1639,                 1.3916,                 1.3015,                0.44801,                0.41382,                0.41837,                0.20798,                 1.6501,                 2.1886,                 1.6814,              0.0097624,              0.0097624,              0.0097624
                     51,                 1.0948,                 1.3395,                 1.2616,                0.43926,                0.58174,                0.45556,                0.23253,                 1.6616,                 2.0239,                 1.6878,              0.0097575,              0.0097575,              0.0097575
                     52,                  1.164,                 1.4465,                 1.3121,                0.37579,                0.60008,                0.47318,                0.24489,                 1.7091,                 2.0817,                 1.7615,              0.0097525,              0.0097525,              0.0097525
                     53,                 1.1306,                 1.3725,                 1.2791,                 0.3858,                0.46736,                0.44585,                 0.2567,                 1.5979,                 2.4015,                 1.7499,              0.0097476,              0.0097476,              0.0097476
                     54,                 1.1112,                 1.4083,                 1.2895,                0.42176,                0.58901,                0.44141,                0.25124,                 1.6765,                 2.2999,                 1.8275,              0.0097426,              0.0097426,              0.0097426
                     55,                 1.1245,                 1.3419,                 1.2845,                0.37694,                0.39824,                0.32705,                0.18063,                 1.6584,                 2.3704,                 1.8227,              0.0097377,              0.0097377,              0.0097377
                     56,                  1.124,                 1.3758,                 1.2995,                0.44642,                0.39078,                0.36976,                0.20554,                 1.6555,                  2.203,                 1.7743,              0.0097327,              0.0097327,              0.0097327
                     57,                 1.1096,                 1.3169,                 1.2738,                0.40694,                0.40334,                0.43454,                0.23338,                 1.6997,                  2.091,                 1.8309,              0.0097278,              0.0097278,              0.0097278
                     58,                  1.086,                 1.3126,                 1.2622,                0.45072,                0.44643,                0.42018,                0.23028,                 1.5409,                 2.0804,                 1.6651,              0.0097228,              0.0097228,              0.0097228
                     59,                 1.0871,                 1.3214,                 1.2662,                0.42738,                0.55428,                0.48194,                0.26004,                 1.6562,                 2.1009,                 1.7917,              0.0097179,              0.0097179,              0.0097179
                     60,                 1.1011,                 1.3756,                 1.2824,                 0.4733,                0.49755,                 0.4988,                0.25132,                 1.6514,                 2.1352,                 1.6997,              0.0097129,              0.0097129,              0.0097129
                     61,                 1.0735,                 1.2872,                 1.2393,                0.45188,                0.59614,                0.52326,                0.25047,                 1.6606,                 2.0551,                 1.6601,               0.009708,               0.009708,               0.009708
                     62,                 1.0542,                 1.2201,                 1.2309,                0.53915,                0.63411,                0.54064,                0.28515,                 1.6133,                 2.0547,                 1.6848,               0.009703,               0.009703,               0.009703
                     63,                 1.0663,                 1.2521,                 1.2659,                0.55097,                0.51957,                0.49616,                0.24781,                 1.6492,                 2.0667,                 1.7236,               0.009698,               0.009698,               0.009698
                     64,                 1.0773,                 1.2887,                 1.2681,                0.75199,                0.48047,                0.50728,                0.27017,                 1.5752,                 1.9898,                 1.6544,              0.0096931,              0.0096931,              0.0096931
                     65,                 1.0436,                 1.1775,                 1.2188,                0.52904,                0.59181,                0.46825,                 0.2345,                 1.6712,                 1.9735,                 1.7414,              0.0096881,              0.0096881,              0.0096881
                     66,                 1.0836,                   1.25,                 1.2504,                0.73649,                0.50017,                0.49995,                 0.2573,                 1.6264,                 1.9811,                 1.7242,              0.0096832,              0.0096832,              0.0096832
                     67,                  1.033,                 1.2062,                  1.229,                0.60265,                0.55249,                0.52177,                0.26676,                 1.5949,                 2.0058,                  1.725,              0.0096783,              0.0096783,              0.0096783
